Date,Time,Open,High,Low,Close
05/10/2005,00:00,4845.5,4931.5,4834.5,4920.0
05/17/2005,00:00,4916.5,4922.0,4843.0,4889.0
05/24/2005,00:00,4889.5,5029.5,4845.0,5029.5
05/31/2005,00:00,5025.5,5092.0,4989.0,5064.0
06/07/2005,00:00,5089.5,5180.5,5068.0,5121.5
06/14/2005,00:00,5127.5,5212.0,5123.5,5194.5
06/21/2005,00:00,5201.0,5255.5,5141.5,5227.5
06/28/2005,00:00,5236.5,5271.0,5135.5,5135.5
07/05/2005,00:00,5161.0,5251.0,5156.0,5243.0
07/12/2005,00:00,5246.5,5296.5,5070.5,5275.5
07/19/2005,00:00,5282.5,5396.5,5260.5,5343.5
07/26/2005,00:00,5347.5,5489.5,5340.5,5463.0
08/02/2005,00:00,5458.0,5558.5,5450.5,5517.5
08/09/2005,00:00,5514.5,5558.5,5437.0,5440.5
08/16/2005,00:00,5451.0,5605.5,5450.5,5560.5
08/23/2005,00:00,5563.0,5569.5,5446.0,5535.5
08/30/2005,00:00,5540.0,5545.5,5346.0,5446.0
09/06/2005,00:00,5442.5,5585.0,5393.5,5453.0
09/13/2005,00:00,5514.0,5643.5,5502.0,5596.5
09/20/2005,00:00,5604.5,5635.0,5492.5,5563.0
09/27/2005,00:00,5571.0,5633.5,5457.0,5607.5
10/04/2005,00:00,5611.0,5772.5,5586.5,5706.5
10/11/2005,00:00,5716.0,5772.5,5593.5,5641.5
10/18/2005,00:00,5650.5,5692.0,5535.5,5579.5
10/25/2005,00:00,5609.5,5617.0,5440.5,5541.5
11/01/2005,00:00,5544.5,5556.5,5382.5,5532.5
11/08/2005,00:00,5544.5,5664.5,5509.0,5643.0
11/15/2005,00:00,5649.0,5743.0,5609.0,5706.5
11/22/2005,00:00,5698.0,5812.5,5677.5,5811.5
11/29/2005,00:00,5793.5,5854.5,5758.5,5764.5
12/06/2005,00:00,5780.5,5933.0,5766.5,5889.5
12/13/2005,00:00,5883.5,5950.0,5831.0,5910.0
12/20/2005,00:00,5913.0,6006.5,5881.5,5966.5
12/27/2005,00:00,5969.5,6092.0,5960.5,6056.0
01/03/2006,00:00,6061.5,6146.5,6019.5,6043.5
01/10/2006,00:00,6090.0,6184.5,6073.5,6175.5
01/17/2006,00:00,6154.0,6189.0,6077.0,6113.0
01/24/2006,00:00,6095.0,6102.5,5918.0,5956.0
01/31/2006,00:00,5975.0,6321.0,5945.5,6298.5
02/07/2006,00:00,6293.5,6382.5,6234.0,6292.5
02/14/2006,00:00,6308.5,6418.5,6216.5,6357.5
02/21/2006,00:00,6380.5,6466.5,6335.0,6422.5
02/28/2006,00:00,6432.5,6532.5,6394.5,6523.5
03/07/2006,00:00,6516.5,6530.0,6299.0,6331.0
03/14/2006,00:00,6330.5,6494.0,6262.0,6448.5
03/21/2006,00:00,6439.5,6590.5,6431.0,6555.5
03/28/2006,00:00,6550.5,6622.0,6491.0,6567.0
04/04/2006,00:00,6560.0,6674.0,6504.0,6645.5
04/11/2006,00:00,6653.0,6687.5,6517.5,6624.0
04/18/2006,00:00,6625.5,6635.5,6494.0,6551.5
04/25/2006,00:00,6547.5,6741.0,6498.0,6723.0
05/02/2006,00:00,6718.0,6752.5,6625.5,6631.5
05/09/2006,00:00,6630.0,6778.0,6586.5,6756.0
05/16/2006,00:00,6750.0,6786.0,6400.5,6508.5
05/23/2006,00:00,6466.0,6517.5,6130.5,6181.0
05/30/2006,00:00,6188.5,6403.5,6161.0,6399.0
06/06/2006,00:00,6361.5,6389.5,6086.5,6166.5
06/13/2006,00:00,6175.5,6204.0,5846.0,5961.5
06/20/2006,00:00,5930.5,6154.0,5846.0,6045.0
06/27/2006,00:00,6021.5,6224.0,6019.0,6192.0
07/04/2006,00:00,6198.5,6370.5,6044.0,6365.0
07/11/2006,00:00,6370.5,6370.5,6228.5,6325.5
07/18/2006,00:00,6325.5,6338.5,5996.5,6058.0
07/25/2006,00:00,6055.0,6232.0,5996.5,6215.0
08/01/2006,00:00,6212.5,6346.5,6172.5,6313.0
08/08/2006,00:00,6312.5,6368.5,6211.0,6268.5
08/15/2006,00:00,6267.0,6414.5,6178.0,6276.5
08/22/2006,00:00,6275.5,6468.5,6275.5,6418.5
08/29/2006,00:00,6419.5,6496.0,6357.5,6476.0
09/05/2006,00:00,6477.0,6525.0,6451.0,6496.0
09/12/2006,00:00,6518.0,6525.0,6342.5,6428.0
09/19/2006,00:00,6421.0,6610.5,6381.5,6578.5
