date,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward,testAccuracy,testCoverage,testReward
25415,0.4602510460251046,0.7966666666666666,-30850.0,0.375,0.8,-1000.0,0.42857142857142855,0.7,125.0
25856,0.45248868778280543,0.7366666666666667,-31712.5,0.42857142857142855,0.7,125.0,0.4375,0.8,2312.5
26397,0.41228070175438597,0.76,-30150.0,0.4666666666666667,0.75,2475.0,0.5454545454545454,0.55,3375.0
26897,0.4267241379310345,0.7733333333333333,-28162.5,0.5454545454545454,0.55,3375.0,0.7142857142857143,0.35,3200.0
27444,0.416289592760181,0.7366666666666667,-34050.0,0.5714285714285714,0.35,2025.0,0.625,0.8,-425.0
27962,0.4305555555555556,0.72,-32437.5,0.625,0.8,-425.0,0.7058823529411765,0.85,2837.5
28509,0.44495412844036697,0.7266666666666667,-24525.0,0.6875,0.8,2787.5,0.5,0.6,262.5
29026,0.4713656387665198,0.7566666666666667,-21212.5,0.5,0.6,262.5,0.7058823529411765,0.85,2150.0
29573,0.4861111111111111,0.72,-22187.5,0.75,0.8,2300.0,0.7857142857142857,0.7,2062.5
30091,0.5283018867924528,0.7066666666666667,25.0,0.7857142857142857,0.7,2062.5,0.7272727272727273,0.55,3337.5
30638,0.5384615384615384,0.6933333333333334,11450.0,0.7272727272727273,0.55,3337.5,0.5263157894736842,0.95,1025.0
31153,0.5517241379310345,0.6766666666666666,16162.5,0.5263157894736842,0.95,1025.0,0.5454545454545454,0.55,-1612.5
31623,0.5482233502538071,0.6566666666666666,11237.5,0.5,0.6,-1912.5,0.6666666666666666,0.6,2212.5
32141,0.5663265306122449,0.6533333333333333,16312.5,0.6666666666666666,0.6,2212.5,0.6,0.75,1812.5
32682,0.6224489795918368,0.6533333333333333,28312.5,0.6,0.75,2075.0,0.4666666666666667,0.75,-1937.5
33206,0.6048780487804878,0.6833333333333333,17862.5,0.4666666666666667,0.75,-1937.5,0.3157894736842105,0.95,-4562.5
33729,0.5742574257425742,0.6733333333333333,6725.0,0.2631578947368421,0.95,-7837.5,0.35714285714285715,0.7,-3200.0
34247,0.5774647887323944,0.71,3887.5,0.35714285714285715,0.7,-3200.0,0.6923076923076923,0.65,2237.5
34789,0.5631067961165048,0.6866666666666666,-1525.0,0.6923076923076923,0.65,2262.5,0.6111111111111112,0.9,575.0
35313,0.5586854460093896,0.71,4462.5,0.6111111111111112,0.9,575.0,0.5,0.5,1512.5
35854,0.5345622119815668,0.7233333333333334,-4875.0,0.5454545454545454,0.55,1650.0,0.5882352941176471,0.85,1950.0
36378,0.5943396226415094,0.7066666666666667,5337.5,0.5882352941176471,0.85,1950.0,0.6842105263157895,0.95,2462.5
36925,0.5596330275229358,0.7266666666666667,1275.0,0.6666666666666666,0.9,1862.5,0.6666666666666666,0.75,1812.5
37440,0.5373831775700935,0.7133333333333334,-6125.0,0.6666666666666666,0.75,1812.5,0.5882352941176471,0.85,-50.0
37936,0.5644444444444444,0.75,-287.5,0.6470588235294118,0.85,1462.5,0.4666666666666667,0.75,-150.0
38448,0.5535714285714286,0.7466666666666667,-525.0,0.4666666666666667,0.75,-150.0,0.5714285714285714,0.7,600.0
38995,0.5550660792951542,0.7566666666666667,-1012.5,0.5714285714285714,0.7,837.5,0.5454545454545454,0.55,2812.5
39512,0.5585585585585585,0.74,-2000.0,0.5454545454545454,0.55,2812.5,0.4444444444444444,0.9,-2050.0
40059,0.5758928571428571,0.7466666666666667,14937.5,0.4444444444444444,0.9,-2575.0,0.4375,0.8,212.5
40577,0.5919282511210763,0.7433333333333333,14837.5,0.4375,0.8,212.5,0.5,0.9,-6737.5
